TAG_PARSER,TAG_TESTED,SEED,STDOUT_DIFF,STDERR_DIFF,CONFIG_DIFF,ORIG_EXIT_CODE,NEW_EXIT_CODE,BINDINGS_OK,DEFCONFIG_STDERR_DIFF_ORIG_VS_COPIED,DEFCONFIG_CONFIG_DIFF_ORIG_VS_COPIED,DEFCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ORIG_DEFCONFIG_RC,COPIED_DEFCONFIG_RC,ALLYESCONFIG_STDERR_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_CONFIG_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ALLYESCONFIG_STDOUT_DIFF_ORIG_VS_COPIED,ORIG_ALLYESCONFIG_RC,COPIED_ALLYESCONFIG_RC
v6.14,v4.7,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.7,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.6,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.6,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.6,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.5,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.5,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.5,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.4,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.4,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.4,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.3,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.3,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.3,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.2,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.2,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.2,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.1,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.1,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.1,16404,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.0,27211,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
v6.14,v4.0,2707,yes,yes,yes,0,2,0,yes,yes,yes,0,2,yes,yes,yes,yes,0,2
